Year,Month,primeRate
2023,3,7.75
2023,2,7.75
2023,1,7.5
2022,12,7.0
2022,11,7.0
2022,10,6.25
2022,9,5.5
2022,8,5.5
2022,7,4.75
2022,6,4.0
2022,5,3.5
2022,4,3.5
2022,3,3.5
2022,2,3.25
2022,1,3.25
2021,12,3.25
2021,11,3.25
2021,10,3.25
2021,9,3.25
2021,8,3.25
2021,7,3.25
2021,6,3.25
2021,5,3.25
2021,4,3.25
2021,3,3.25
2021,2,3.25
2021,1,3.25
2020,12,3.25
2020,11,3.25
2020,10,3.25
2020,9,3.25
2020,8,3.25
2020,7,3.25
2020,6,3.25
2020,5,3.25
2020,4,3.25
2020,3,3.25
2020,2,4.75
2020,1,4.75
2019,12,4.75
2019,11,4.75
2019,10,4.75
2019,9,5.0
2019,8,5.25
2019,7,5.5
2019,6,5.5
2019,5,5.5
2019,4,5.5
2019,3,5.5
2019,2,5.5
2019,1,5.5
2018,12,5.5
2018,11,5.25
2018,10,5.25
2018,9,5.25
2018,8,5.0
2018,7,5.0
2018,6,5.0
2018,5,4.75
2018,4,4.75
2018,3,4.75
2018,2,4.5
2018,1,4.5
2017,12,4.5
2017,11,4.25
2017,10,4.25
2017,9,4.25
2017,8,4.25
2017,7,4.25
2017,6,4.25
2017,5,4.0
2017,4,4.0
2017,3,4.0
2017,2,3.75
2017,1,3.75
2016,12,3.75
2016,11,3.5
2016,10,3.5
2016,9,3.5
2016,8,3.5
2016,7,3.5
2016,6,3.5
2016,5,3.5
2016,4,3.5
2016,3,3.5
2016,2,3.5
2016,1,3.5
2015,12,3.5
2015,11,3.25
2015,10,3.25
2015,9,3.25
2015,8,3.25
2015,7,3.25
2015,6,3.25
2015,5,3.25
2015,4,3.25
2015,3,3.25
2015,2,3.25
2015,1,3.25
2014,12,3.25
2014,11,3.25
2014,10,3.25
2014,9,3.25
2014,8,3.25
2014,7,3.25
2014,6,3.25
2014,5,3.25
2014,4,3.25
2014,3,3.25
2014,2,3.25
2014,1,3.25
2013,12,3.25
2013,11,3.25
2013,10,3.25
2013,9,3.25
2013,8,3.25
2013,7,3.25
2013,6,3.25
2013,5,3.25
2013,4,3.25
2013,3,3.25
2013,2,3.25
2013,1,3.25
2012,12,3.25
2012,11,3.25
2012,10,3.25
2012,9,3.25
2012,8,3.25
2012,7,3.25
2012,6,3.25
2012,5,3.25
2012,4,3.25
2012,3,3.25
2012,2,3.25
2012,1,3.25
2011,12,3.25
2011,11,3.25
2011,10,3.25
2011,9,3.25
2011,8,3.25
2011,7,3.25
2011,6,3.25
2011,5,3.25
2011,4,3.25
2011,3,3.25
2011,2,3.25
2011,1,3.25
2010,12,3.25
2010,11,3.25
2010,10,3.25
2010,9,3.25
2010,8,3.25
2010,7,3.25
2010,6,3.25
2010,5,3.25
2010,4,3.25
2010,3,3.25
2010,2,3.25
2010,1,3.25
2009,12,3.25
2009,11,3.25
2009,10,3.25
2009,9,3.25
2009,8,3.25
2009,7,3.25
2009,6,3.25
2009,5,3.25
2009,4,3.25
2009,3,3.25
2009,2,3.25
2009,1,3.25
2008,12,3.25
2008,11,4.0
2008,10,4.0
2008,9,5.0
2008,8,5.0
2008,7,5.0
2008,6,5.0
2008,5,5.0
2008,4,5.25
2008,3,6.0
2008,2,6.0
2008,1,7.25
2007,12,7.5
2007,11,7.5
2007,10,7.75
2007,9,8.25
2007,8,8.25
2007,7,8.25
2007,6,8.25
2007,5,8.25
2007,4,8.25
2007,3,8.25
2007,2,8.25
2007,1,8.25
2006,12,8.25
2006,11,8.25
2006,10,8.25
2006,9,8.25
2006,8,8.25
2006,7,8.25
2006,6,8.0
2006,5,7.75
2006,4,7.5
2006,3,7.5
2006,2,7.5
2006,1,7.5
2005,12,7.25
2005,11,7.0
2005,10,6.75
2005,9,6.5
2005,8,6.25
2005,7,6.25
2005,6,6.0
2005,5,6.0
2005,4,5.75
2005,3,5.75
2005,2,5.25
2005,1,5.25
2004,12,5.25
2004,11,5.0
2004,10,4.75
2004,9,4.75
2004,8,4.5
2004,7,4.25
2004,6,4.0
2004,5,4.0
2004,4,4.0
2004,3,4.0
2004,2,4.0
2004,1,4.0
2003,12,4.0
2003,11,4.0
2003,10,4.0
2003,9,4.0
2003,8,4.0
2003,7,4.0
2003,6,4.0
2003,5,4.25
2003,4,4.25
2003,3,4.25
2003,2,4.25
2003,1,4.25
2002,12,4.25
2002,11,4.25
2002,10,4.75
2002,9,4.75
2002,8,4.75
2002,7,4.75
2002,6,4.75
2002,5,4.75
2002,4,4.75
2002,3,4.75
2002,2,4.75
2002,1,4.75
2001,12,5.0
2001,11,5.5
2001,10,5.5
2001,9,6.0
2001,8,6.5
2001,7,6.75
2001,6,6.75
2001,5,7.5
2001,4,7.5
2001,3,8.0
2001,2,8.5
2001,1,9.0
