serialnumber,listyear,daterecorded,town,address,assessedvalue,saleamount,salesratio,propertytype,residentialtype,geo_coordinates,:@computed_region_dam5_q64j,:@computed_region_nhmp_cq6b,:@computed_region_m4y2_whse,:@computed_region_snd5_k6zv,nonusecode,remarks,opm_remarks
20001,2020,2020-10-05T00:00:00.000,Andover,303 LAKE RD,121300,210000,0.5776,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.35327, 41.71416]}",38,246,1,1,,,
2020072,2020,2020-11-25T00:00:00.000,Ansonia,7 JASON WRIGHT DR,172500,330000,0.5227,Residential,Single Family,,,,,,,,
2020221,2020,2021-05-25T00:00:00.000,Ansonia,8 BERKSHIRE RD,108300,245000,0.442,Residential,Single Family,,,,,,,,
2020361,2020,2021-09-21T00:00:00.000,Ansonia,5 BIRCHWOOD DR,203700,335000,0.608,Residential,Single Family,,,,,,,,
200047,2020,2020-10-23T00:00:00.000,Avon,21 CLIFF DRIVE,155390,249000,0.624,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.87619, 41.80986]}",1041,46,4,1,,,
200152,2020,2021-01-11T00:00:00.000,Avon,61 GRANT DRIVE,150600,262000,0.5748,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.89415, 41.76951]}",1041,46,4,1,,,
200267,2020,2021-05-04T00:00:00.000,Avon,70 SUNRISE DRIVE,260230,525000,0.4956,Residential,Single Family,,,,,,,,
200375,2020,2021-07-02T00:00:00.000,Avon,362 WEST AVON ROAD,164740,230000,0.7162,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.86219, 41.7929]}",1041,46,4,1,,,
200481,2020,2021-08-26T00:00:00.000,Avon,20 DEVONSHIRE COURT,404240,605000,0.6681,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.86552, 41.78679]}",1041,46,4,1,,,
200002,2020,2020-10-09T00:00:00.000,Beacon Falls,19 SUSAN STREET,32640,45000,0.7253,Residential,Single Family,,,,,,,MOBILE HOME,
200154,2020,2021-09-20T00:00:00.000,Beacon Falls,141 ESSEX COURT,77590,175000,0.4433,Residential,Condo,,,,,,,,
2020118,2020,2020-12-28T00:00:00.000,Berlin,141 CARRIAGE DRIVE,183900,310000,0.5932,Residential,Single Family,,,,,,,,
2020233,2020,2021-05-05T00:00:00.000,Berlin,187 STONY MILL LN,153700,270000,0.5692,Residential,Condo,,,,,,,,
2020352,2020,2021-07-29T00:00:00.000,Berlin,48 WORTHINGTON LN,144200,234000,0.6162,Residential,Single Family,,,,,,,,
200039,2020,2020-12-09T00:00:00.000,Bethany,260 SPERRY RD,331190,400000,0.8279,Residential,Single Family,,,,,,,,
20015,2020,2020-10-13T00:00:00.000,Bethel,57 CHESTNUT STREET,194110,365000,0.5318,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.40632, 41.36916]}",1040,77,9,9,,,
20159,2020,2020-12-29T00:00:00.000,Bethel,22 NATURE VIEW TRAIL,122570,215000,0.570093023,Residential,Condo,,,,,,,,
20327,2020,2021-05-18T00:00:00.000,Bethel,7 FOREST WAY,302050,494500,0.6108,Residential,Condo,,,,,,,,
20475,2020,2021-08-26T00:00:00.000,Bethel,45 STARR LANE,460530,775000,0.5942,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.38337, 41.34967]}",1040,77,9,9,,SOLD WITH STARR LANE 43/47A/178-08A,
200087,2020,2021-08-17T00:00:00.000,Bethlehem,283 MAIN ST S,145800,343777,0.4241,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.20196, 41.6245]}",1042,50,10,4,,,
2000106,2020,2021-01-06T00:00:00.000,Bloomfield,34 BANBURY LANE,125650,220000,0.5711,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.72583, 41.83244]}",1041,224,11,1,,,
2000222,2020,2021-05-18T00:00:00.000,Bloomfield,1 CEDAR CLOSE,355530,620000,0.5734,Residential,Single Family,,,,,,,,
2000331,2020,2021-07-26T00:00:00.000,Bloomfield,798 BLUE HILLS AVE,86590,160000,0.5411,Commercial,,,,,,,,,
20075,2020,2021-06-26T00:00:00.000,Bolton,46 FAIRWAY DR,283400,475000,0.5966,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.44508, 41.77824]}",38,209,12,1,,,
200061,2020,2020-10-21T00:00:00.000,Branford,2E ANCHOR REEF,256000,480000,0.5333,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.67344, 41.72606]}",1041,261,159,1,,,
200190,2020,2020-12-14T00:00:00.000,Branford,33A ANCHOR REEF,180000,355000,0.507,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.58351, 41.78864]}",1041,119,43,1,,,
200340,2020,2021-03-09T00:00:00.000,Branford,8A HARBOUR VILLAGE,156400,225000,0.6951,Residential,Condo,,,,,,,,
200483,2020,2021-05-18T00:00:00.000,Branford,61 PALMER RD,219900,460000,0.478,Residential,Single Family,,,,,,,,
200627,2020,2021-07-15T00:00:00.000,Branford,6A STONEGATE,104900,214000,0.4901,Residential,Condo,,,,,,,,
200774,2020,2021-09-15T00:00:00.000,Branford,29 ALPS RD,181600,370000,0.4908,Residential,Single Family,,,,,,,,
200038,2020,2020-10-09T00:00:00.000,Bristol,353 BURLINGTON AVE,118800,215000,0.5525,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.94402, 41.69191]}",1041,219,17,4,,,
200158,2020,2020-11-06T00:00:00.000,Bristol,67 BRIDGEPORT AVE,113890,225000,0.5061,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.91639, 41.70714]}",1041,219,17,4,,,
200293,2020,2020-12-14T00:00:00.000,Bristol,34 FIRESIDE LA,152250,260000,0.5855,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.88969, 41.66321]}",1041,219,17,4,,,
200430,2020,2021-01-19T00:00:00.000,Bristol,226 EAST MAIN ST UN 15,57330,105575,0.543,Residential,Condo,,,,,,,,
200551,2020,2021-03-05T00:00:00.000,Bristol,57 UNION ST,350780,633000,0.5541,Apartments,,"{'type': 'Point', 'coordinates': [-72.9453, 41.66618]}",1041,219,17,4,,,
200681,2020,2021-04-12T00:00:00.000,Bristol,13 RUTH ST,109103,182000,0.5994,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.90776, 41.69945]}",1041,219,17,4,,,
200815,2020,2021-05-20T00:00:00.000,Bristol,17 HOBSON AVE,96390,150000,0.6426,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.92287, 41.66228]}",1041,219,17,4,,,
200955,2020,2021-06-21T00:00:00.000,Bristol,12 LANTERN HILL RD,155330,295000,0.5265,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.88669, 41.66292]}",1041,219,17,4,,,
201074,2020,2021-07-20T00:00:00.000,Bristol,10 ALEXANDER ST,99330,164000,0.6056,Residential,Two Family,"{'type': 'Point', 'coordinates': [-72.91373, 41.66638]}",1041,219,17,4,,,
201192,2020,2021-08-18T00:00:00.000,Bristol,257 MATTHEWS ST,180530,330000,0.547,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.96327, 41.68478]}",1041,219,17,4,,,
201319,2020,2021-09-16T00:00:00.000,Bristol,24 PRATT ST,167650,299900,0.559,Residential,Two Family,,,,,,,,
20000054,2020,2020-11-06T00:00:00.000,Brookfield,23 STONY HILL RD,212010,335000,0.632865672,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.38698, 41.4287]}",1040,173,18,9,,,
20000188,2020,2021-03-01T00:00:00.000,Brookfield,16 POCONO RIDGE RD,153490,225000,0.6821,Residential,Single Family,,,,,,,,
200000307,2020,2021-06-29T00:00:00.000,Brookfield,51 HOMESTEAD LANE,98960,200000,0.4948,Residential,Condo,,,,,,,,
200000435,2020,2021-09-30T00:00:00.000,Brookfield,334 STILLWATER CIRCLE,246410,340000,0.7247,Residential,Condo,"{'type': 'Point', 'coordinates': [-73.4126, 41.48912]}",1040,173,18,9,,,
20137,2020,2021-05-11T00:00:00.000,Burlington,34 STAGECOACH RD,222880,338000,0.6594,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.92622, 41.73029]}",1041,107,20,6,,,
200005,2020,2020-10-06T00:00:00.000,Canton,10 BROOKVIEW CIRCLE,163280,235000,0.6948,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.92206, 41.8352]}",1041,80,23,1,,,
200131,2020,2021-04-27T00:00:00.000,Canton,64 VILLAGE LANE,305540,440000,0.6944,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.93674, 41.83284]}",1041,80,23,1,,,
200240,2020,2021-08-25T00:00:00.000,Canton,17 THOMPSON HILL ROAD,260610,579000,0.4501,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.94363, 41.84733]}",1041,80,23,1,,,
200069,2020,2020-11-13T00:00:00.000,Cheshire,58 FOREST LANE,134720,220000,0.6123,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.90315, 41.4685]}",1044,63,25,4,,,
2000192,2020,2021-02-19T00:00:00.000,Cheshire,148 FAIRWAY DR,96280,157225,0.6123,Residential,Condo,,,,,,,,
2000316,2020,2021-05-13T00:00:00.000,Cheshire,731 S MAIN ST,99420,183000,0.5432,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.90587, 41.48407]}",1044,63,25,4,,,
2000446,2020,2021-07-29T00:00:00.000,Cheshire,1229 HIGHVIEW TERR,177320,375000,0.4728,Residential,Single Family,,,,,,,,
20010,2020,2021-02-08T00:00:00.000,Chester,35 TURKEY HILL RD,121620,185000,0.6574,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.49026, 41.41124]}",1043,128,26,3,,,
200082,2020,2020-12-23T00:00:00.000,Colchester,136 STANAVAGE RD,167200,302500,0.5527,Residential,Single Family,,,,,,,,
200207,2020,2021-05-26T00:00:00.000,Colchester,71 WESTERLY TERR,105200,185000,0.5686,Residential,Single Family,,,,,,,,
200325,2020,2021-08-25T00:00:00.000,Colchester,194 NEW LONDON RD,120400,175000,0.688,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.31599, 41.55688]}",1045,235,28,8,,,
200045,2020,2020-12-29T00:00:00.000,Columbia,294 ROUTE 66 SOUTH,154000,200000,0.77,Residential,Single Family,,,,,,,,
200049,2020,2021-04-27T00:00:00.000,Cornwall,91 CEMETERY HILL RD,154100,225000,0.6848,Residential,Single Family,,,,,,,,
200107,2020,2021-01-19T00:00:00.000,Coventry,28 ARMSTRONG RD C13,111200,162000,0.6864,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.28996, 41.7649]}",38,145,32,1,,,
200263,2020,2021-06-25T00:00:00.000,Coventry,21 MAPLEWOOD TR,111400,180000,0.6188,Residential,Single Family,,,,,,,,
200023,2020,2020-10-20T00:00:00.000,Cromwell,5 PEQUOT COURT,98420,154500,0.637,Residential,Condo,,,,,,,,
200192,2020,2021-04-21T00:00:00.000,Cromwell,15 DOGWOOD COURT,85330,152500,0.5595,Residential,Condo,,,,,,,,
201360,2020,2021-09-02T00:00:00.000,Cromwell,9 DEBRA COURT UNIT 60E,93940,133000,0.7063,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.6824, 41.60697]}",1043,165,33,3,,,
200099,2020,2020-10-20T00:00:00.000,Danbury,15 SCUPPO RD 803,161400,270000,0.5977,Residential,Condo,,,,,,,F14068-803,
200234,2020,2020-11-17T00:00:00.000,Danbury,5 SHANNON RIDGE RD,201100,365000,0.5509,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.47376, 41.39071]}",1040,1,34,9,,G15017,
200352,2020,2020-12-14T00:00:00.000,Danbury,55 MILL PLAIN RD 22-1,98400,163000,0.6036,Residential,Condo,,,,,,,D15004-131,
