Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.3,3.4,3.5
2002,3.6,3.8,3.9,4.1,4.2,4.3,4.5,4.6,4.8,4.9,5.0,5.1
2003,5.2,5.3,5.4,5.5,5.5,5.6,5.6,5.6,5.5,5.5,5.4,5.3
2004,5.3,5.3,5.2,5.2,5.2,5.1,5.1,5.0,5.0,4.9,4.9,4.9
2005,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.6
2006,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3
2007,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.7,4.7
2008,4.8,4.9,5.0,5.1,5.3,5.5,5.7,5.9,6.0,6.3,6.5,6.8
2009,7.1,7.4,7.7,7.9,8.1,8.3,8.4,8.6,8.8,9.0,9.2,9.4
2010,9.5,9.6,9.7,9.6,9.6,9.5,9.5,9.5,9.5,9.6,9.6,9.5
2011,9.4,9.4,9.3,9.2,9.2,9.1,9.0,9.0,8.8,8.7,8.6,8.5
2012,8.4,8.3,8.3,8.4,8.4,8.4,8.4,8.4,8.4,8.3,8.3,8.3
2013,8.3,8.3,8.2,8.2,8.1,8.1,8.0,7.9,7.8,7.6,7.5,7.4
2014,7.2,7.1,6.9,6.8,6.7,6.6,6.6,6.5,6.4,6.3,6.2,6.1
2015,6.0,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.4,5.4,5.4,5.3
2016,5.2,5.2,5.1,5.0,4.9,4.9,4.8,4.7,4.7,4.7,4.6,4.6
2017,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3
2018,4.2,4.1,4.1,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7
2019,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.6,3.6,3.7,3.7,3.8
2020,3.8,3.9,3.9,8.2,11.7,11.4,11.6,9.6,8.8,7.9,7.5,7.3
2021,7.0,6.9,6.9,6.9,6.7,6.7,6.4,6.2,5.8,5.6,5.3,5.1
2022,4.8,4.6,4.3,4.2,4.1,4.0,4.0,3.9,4.0,4.0,4.0,4.0
2023,3.9,4.0,4.0,,,,,,,,,
